Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
8781b7ca60b69eaaa96b8e15ce35e1cf4ce4e7e61291b6d72e53b792edd83467,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.140452,51.581101,On or near Pedestrian Subway,E01000030,Barking and Dagenham 001D,Drugs,Offender given a drugs possession warning
8c6313e27b1b60d209a62700d178d48e64afe803fdb00500aaf03c8836380b21,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.147787,51.568296,On or near Rosslyn Avenue,E01000111,Barking and Dagenham 002D,Drugs,Court result unavailable
8ccfc45396a3a79d33dcdda9823359954e443ef49e84e2ed798eddd36820adcc,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.168025,51.553877,On or near Fels Farm Avenue,E01000034,Barking and Dagenham 003A,Drugs,Offender given a caution
46fc4504510dc60a061ba494bc34b630c97c8a4d7231bd4227a9c240c79483c4,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.175454,51.558119,On or near Parking Area,E01000034,Barking and Dagenham 003A,Drugs,Investigation complete; no suspect identified
c43f2f091b7825e713a42f7ff1d1c669979562547087cba8163888eb23aff6c4,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.180963,51.562882,On or near Laurel Crescent,E01000037,Barking and Dagenham 003B,Drugs,Offender given a drugs possession warning
6093961ddca572ac204d656972d65832f91150e87fe59659cf576b3bb56001d0,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.180963,51.562882,On or near Laurel Crescent,E01000037,Barking and Dagenham 003B,Drugs,Local resolution
ad289ee0ee2761e0972e7f977bb1d700c8ccb6883c31c10ee5b9a93d0a51c37d,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.175453,51.564441,On or near Parking Area,E01000038,Barking and Dagenham 003C,Drugs,Offender fined
a0b98a7437add315db57ec760228f890e4d1ada4c612fb5e56752d20ec0efe93,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.143318,51.560105,On or near Stockdale Road,E01000101,Barking and Dagenham 004C,Drugs,Offender given a caution
876b891431c0e20985b0857133644b2a681c7ee5df5dbaded99b18501be5e0b0,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.16364,51.554192,On or near Hardie Road,E01000033,Barking and Dagenham 006A,Drugs,Offender given a drugs possession warning
c873b033c42bf3e0d4e683e58fa4d1b237065ca0a1fb81b04846242eef91b2d6,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.15412,51.561849,On or near Gosfield Road,E01000061,Barking and Dagenham 006C,Drugs,Offender given a drugs possession warning
eb9383b93a67eacb6aaacc49544477df60904d0a1fbebfe7fcf9746ebcceb34e,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.15412,51.561849,On or near Gosfield Road,E01000061,Barking and Dagenham 006C,Drugs,Offender given a drugs possession warning
5791a26db863858e784a9dea1fa8ff113737924b3d0987ab0663f55193835270,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.15412,51.561849,On or near Gosfield Road,E01000061,Barking and Dagenham 006C,Drugs,Offender given a drugs possession warning
973265af1762774af7a13ced553cff94d5ede7ef045619e5d56f17edbef72622,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.11923,51.555578,On or near Becontree Avenue,E01000021,Barking and Dagenham 008A,Drugs,Offender given penalty notice
53a4222de6b749ae086a4c0c47dab65fe3ee027cb7fb0663a8e26888effad9e6,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.112726,51.549706,On or near Sports/Recreation Area,E01000023,Barking and Dagenham 008C,Drugs,Offender given a drugs possession warning
