Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0ab2ad3b5ff31fea76ad9251b879712af796893c2dd07e074bcb54fb98cf15d7,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given penalty notice
b7ad8d531c3149f325f37ac287fc87a4d34b9e6686554a09a6cff9c0d142d622,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
155b484e94f2687a5266500c1db74744c1691cba3f70923615d95a05aba846b4,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
34a37019b1d0118aae51fa26a7b29f0c58a445681cd294006a5809c1ccb3c08b,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.028107,51.442933,On or near A205,E01003321,Lewisham 020C,Offender given a drugs possession warning
1f01b80c75f1278f1b8b1b06705bca5cd3172227330ff78920e3d3326afdbacd,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
0816628b8abb9735fb975bbe6ca1ec7429547e01730b6606a15b980e75240469,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
d978cb2ed52743e6a1fd57f44b80119cd528bc0ce6a1d370b12ce485f49fdc97,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.360961,51.474974,On or near DENBIGH ROAD,E01002640,Hounslow 012C,Offender given a caution
bdd917bee5c46faf9c05bff38b120fc9bd6338f28c644cdcc1d51f9c04322e79,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.162069,51.418771,On or near LONDON ROAD,E01003372,Merton 008B,Investigation complete; no suspect identified
a265e0edf06adcadb5b28a4f12668cdf792bd39a3bd6a0f85e283c40936b1e2a,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
7c101a7c48f7dbe4cef7c025ecbd5818ccb45252f18130e4b7465c41c1a22bad,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.341491,51.584523,On or near HARROW VIEW,E01002128,Harrow 020A,Suspect charged
2c2698b3f1571131f8110dd61f3c862aa858a5cfdc16025f3b082c44cdf0df8e,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.287290,51.553431,On or near HARROW ROAD,E01000636,Brent 020E,Suspect charged
202574128bbd1c041463b4a32148549537e05d5691055c1488b643c55e1bdd5e,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b952d7645bea2a5ca1044e8ba8e6c2247574f8249c3e714d2f6da9e17b876841,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
928f2da1822bf934eed0c9b45e6438636cc3e05652d5beb06f7ca0431f5d8afd,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
de62eadb47b1478646eaf3469961496052f0839e7d9a8b5dee767237bf0c1482,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
82d958f83ef8a04c851f90fab1dbf0568f56a7c6c12d462c9034336f6da06dde,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.071111,51.473855,On or near MELON ROAD,E01004010,Southwark 022D,Offender given a drugs possession warning
56445577297aa4d53dae98b09986941eed07776a498e6969a5b15b7eb9beba81,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
6b7289b5f9e78b593bf657e9201a56fe4178ffbd0605c75133326fe92afd61b2,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
f9780f3e935fcf579a64038de810c193bae6811c5c734d2e81b5f9f6e142fc18,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
7d97a2b0cfbfb113532e2d3cfbef21c9c5aa1432c1db1d7b391b657b3a623faf,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2f4f9ce5f51d48585045666b628d5adc42cbb65bc156c7690013ac5916a011d1,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
eae965df2c7e25815c116e114cae0dcddac6eb6b6b1800df4c7720f81ab81aa7,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
a05aa29acbb8f2d3a650d79ca6041ac55d46b8552eb3d1d4ac3c3deeedc6e398,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a05aa29acbb8f2d3a650d79ca6041ac55d46b8552eb3d1d4ac3c3deeedc6e398,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
67fbc719a99a2c17355959d6b5878b0e5d6c69e1376a6a5c743e68559b6f0236,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
933cc9267155fb0a333723601239eb285bbf6e4e983772272d3379948f733f96,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.181755,51.648268,On or near STATION ROAD,E01000251,Barnet 002D,Offender given a drugs possession warning
0d1c615d775051bc5e2c20e19877602160f581c6ef5f762f9dd33d0a3f5a3ee9,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.155137,51.607459,On or near Supermarket,E01000164,Barnet 022D,Offender given penalty notice
8f937a1fd953b00b75ca39c8f3630ae4cf4e6472479ce82c80a77649faae230c,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.155137,51.607459,On or near Supermarket,E01000164,Barnet 022D,Offender given penalty notice
005b90bf352485ac6bad62a5062b3306895fecd50413692c3b0800f15b7df553,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.070010,51.585129,On or near TALBOT ROAD,E01002071,Haringey 025C,Investigation complete; no suspect identified
63f94103ef6fba76e18c7cff498370328cbd205e09b40f425ae1cd4b5c6438fd,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
c554e85e6f19ffe82f4950c7ffcb4fa1b0dffcf617f9c58632847bbefab27062,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
1b196992e67f6a3c7b7bd667753378532aa22462b871c5da60394d6752bc6ff1,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.456819,51.471113,On or near CANBERRA ROAD,E01002444,Hillingdon 031A,Investigation complete; no suspect identified
46a23ec817deb8aabf9f424c08f06c56f7ba28097e10c133c5e0b771a9676303,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
cf5443bd46cc9434f20d52235b12d768537682f1439a0c10e7775e44e6e72956,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fd4e577b76de0a43b9b8fe713e5831f101baaadc2507393dc04741c421e8fdae,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
8b527733aaba469d4af4e0b403c168538f0a8222de5f2c543b25d8e8394ecdaa,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
